iter	Passed	Remaining
0	149	149843
1	154	76846
2	155	51802
3	157	39273
4	159	31691
5	160	26610
6	161	22978
7	163	20260
8	164	18144
9	167	16546
10	169	15232
11	171	14087
12	172	13106
13	174	12264
14	175	11534
15	177	10892
16	178	10325
17	180	9824
18	182	9445
19	184	9054
20	186	8684
21	187	8349
22	189	8042
23	190	7758
24	192	7499
25	193	7261
26	195	7041
27	198	6900
28	200	6712
29	202	6532
30	203	6364
31	205	6207
32	206	6059
33	208	5920
34	210	5792
35	211	5669
36	215	5606
37	216	5492
38	218	5382
39	219	5277
40	221	5178
41	222	5085
42	224	4998
43	226	4918
44	230	4897
45	232	4819
46	233	4743
47	235	4670
48	237	4610
49	239	4553
50	241	4490
51	242	4428
52	245	4388
53	247	4331
54	248	4274
55	250	4220
56	252	4178
57	254	4141
58	256	4091
59	258	4042
60	261	4022
61	262	3975
62	264	3930
63	265	3886
64	267	3847
65	268	3805
66	270	3765
67	271	3725
68	273	3687
69	276	3672
70	277	3637
71	279	3602
72	280	3567
73	282	3535
74	284	3510
75	286	3479
76	287	3450
77	290	3437
78	292	3410
79	294	3381
80	295	3353
81	297	3326
82	298	3296
83	300	3271
84	301	3246
85	303	3221
86	305	3211
87	307	3191
88	309	3169
89	311	3146
90	313	3130
91	315	3108
92	316	3087
93	318	3065
94	319	3044
95	322	3035
96	324	3023
97	326	3006
98	328	2989
99	330	2972
100	332	2958
101	334	2940
102	337	2935
103	338	2919
104	340	2902
105	342	2884
106	343	2868
107	345	2853
108	347	2836
109	348	2820
110	350	2804
111	352	2797
112	354	2782
113	356	2767
114	357	2751
115	359	2736
116	360	2720
117	362	2706
118	363	2691
119	364	2676
120	367	2669
121	369	2655
122	370	2642
123	372	2628
124	373	2614
125	375	2601
126	376	2586
127	377	2573
128	379	2560
129	380	2547
130	383	2546
131	386	2539
132	388	2530
133	389	2519
134	391	2507
135	392	2495
136	394	2484
137	395	2473
138	399	2475
139	401	2465
140	402	2454
141	403	2440
142	405	2429
143	406	2418
144	408	2407
145	409	2397
146	411	2387
147	414	2386
148	416	2379
149	418	2371
150	420	2364
151	422	2357
152	424	2349
153	426	2341
154	429	2343
155	431	2336
156	433	2328
157	435	2321
158	438	2316
159	440	2311
160	441	2301
161	446	2308
162	448	2304
163	451	2300
164	453	2295
165	455	2287
166	457	2280
167	459	2273
168	464	2285
169	467	2282
170	469	2275
171	471	2268
172	472	2260
173	476	2260
174	478	2256
175	480	2249
176	482	2241
177	483	2234
178	485	2226
179	486	2217
180	488	2209
181	491	2207
182	493	2201
183	494	2193
184	496	2185
185	497	2177
186	499	2169
187	500	2162
188	502	2154
189	503	2146
190	507	2148
191	509	2142
192	510	2135
193	512	2128
194	513	2121
195	515	2113
196	516	2106
197	518	2099
198	521	2099
199	523	2095
200	525	2090
201	527	2084
202	529	2078
203	531	2072
204	534	2073
205	539	2080
206	541	2075
207	544	2072
208	546	2068
209	548	2062
210	549	2055
211	551	2048
212	553	2046
213	556	2042
214	557	2036
215	559	2031
216	561	2025
217	563	2020
218	565	2017
219	569	2019
220	571	2016
221	573	2011
222	576	2007
223	577	2002
224	579	1997
225	581	1991
226	585	1993
227	586	1987
228	588	1981
229	590	1975
230	591	1969
231	592	1962
232	594	1956
233	595	1950
234	597	1944
235	600	1944
236	602	1938
237	603	1933
238	605	1927
239	606	1921
240	608	1915
241	609	1910
242	611	1904
243	613	1899
244	615	1897
245	617	1894
246	619	1889
247	621	1884
248	623	1880
249	625	1877
250	627	1872
251	630	1871
252	632	1866
253	633	1861
254	635	1856
255	636	1850
256	638	1846
257	640	1841
258	641	1836
259	643	1831
260	646	1831
261	648	1826
262	649	1821
263	651	1816
264	652	1810
265	654	1805
266	656	1801
267	657	1795
268	659	1791
269	661	1788
270	662	1783
271	664	1778
272	665	1772
273	667	1768
274	669	1765
275	671	1761
276	673	1756
277	676	1755
278	677	1751
279	679	1746
280	680	1741
281	682	1736
282	683	1731
283	684	1726
284	686	1721
285	688	1717
286	690	1716
287	692	1713
288	694	1709
289	696	1704
290	697	1700
291	699	1696
292	701	1691
293	703	1688
294	704	1684
295	707	1682
296	709	1679
297	711	1675
298	712	1671
299	714	1667
300	716	1664
301	718	1660
302	720	1656
303	722	1654
304	724	1650
305	725	1646
306	727	1641
307	728	1637
308	730	1634
309	732	1630
310	733	1626
311	735	1622
312	737	1619
313	739	1615
314	741	1611
315	742	1607
316	744	1603
317	745	1599
318	747	1594
319	748	1590
320	750	1586
321	752	1585
322	754	1581
323	755	1577
324	757	1573
325	759	1569
326	760	1565
327	762	1561
328	763	1557
329	765	1553
330	768	1553
331	770	1549
332	771	1545
333	773	1541
334	774	1538
335	776	1534
336	777	1530
337	779	1526
338	780	1522
339	784	1522
340	786	1520
341	788	1517
342	790	1514
343	792	1511
344	794	1508
345	796	1505
346	799	1503
347	801	1501
348	803	1498
349	806	1497
350	808	1495
351	813	1498
352	815	1495
353	817	1491
354	819	1488
355	820	1484
356	822	1480
357	823	1477
358	825	1473
359	827	1471
360	829	1468
361	831	1465
362	833	1461
363	835	1458
364	837	1456
365	841	1458
366	843	1455
367	845	1451
368	847	1448
369	848	1445
370	850	1441
371	852	1438
372	854	1435
373	857	1434
374	858	1431
375	860	1427
376	861	1424
377	863	1420
378	864	1416
379	866	1413
380	867	1409
381	869	1406
382	872	1404
383	873	1401
384	875	1399
385	877	1395
386	878	1392
387	880	1388
388	881	1385
389	883	1381
390	888	1383
391	889	1379
392	891	1376
393	892	1372
394	894	1369
395	895	1365
396	896	1362
397	898	1359
398	900	1355
399	903	1355
400	905	1352
401	907	1349
402	908	1346
403	910	1343
404	913	1341
405	914	1338
406	918	1337
407	919	1334
408	921	1331
409	923	1328
410	924	1324
411	925	1321
412	927	1318
413	929	1315
414	930	1311
415	933	1310
416	934	1307
417	936	1303
418	937	1300
419	939	1297
420	941	1294
421	944	1294
422	948	1293
423	949	1290
424	951	1287
425	953	1284
426	954	1280
427	956	1278
428	957	1274
429	959	1271
430	960	1268
431	963	1267
432	965	1264
433	966	1261
434	968	1257
435	970	1255
436	971	1252
437	973	1248
438	974	1245
439	976	1242
440	979	1241
441	981	1238
442	982	1235
443	984	1232
444	985	1229
445	987	1226
446	988	1223
447	990	1220
448	991	1217
449	995	1216
450	998	1215
451	1000	1212
452	1001	1209
453	1003	1207
454	1006	1205
455	1007	1202
456	1010	1200
457	1012	1197
458	1013	1194
459	1015	1191
460	1016	1188
461	1018	1185
462	1019	1182
463	1021	1179
464	1022	1176
465	1025	1175
466	1026	1172
467	1028	1169
468	1030	1166
469	1031	1163
470	1033	1160
471	1035	1157
472	1036	1155
473	1038	1152
474	1041	1150
475	1043	1148
476	1044	1145
477	1046	1142
478	1048	1140
479	1050	1138
480	1052	1135
481	1056	1134
482	1058	1133
483	1060	1130
484	1062	1128
485	1064	1125
486	1066	1123
487	1067	1120
488	1069	1117
489	1072	1116
490	1074	1113
491	1075	1110
492	1077	1108
493	1080	1106
494	1081	1103
495	1083	1100
496	1084	1097
497	1087	1096
498	1089	1093
499	1091	1091
500	1092	1088
501	1094	1085
502	1096	1083
503	1098	1081
504	1100	1078
505	1103	1076
506	1104	1074
507	1106	1071
508	1108	1068
509	1109	1066
510	1111	1063
511	1112	1060
512	1114	1057
513	1116	1055
514	1117	1052
515	1119	1050
516	1120	1047
517	1122	1044
518	1124	1041
519	1125	1039
520	1127	1036
521	1128	1033
522	1130	1030
523	1132	1028
524	1134	1026
525	1136	1023
526	1137	1021
527	1139	1018
528	1141	1016
529	1143	1013
530	1145	1011
531	1148	1010
532	1149	1007
533	1151	1004
534	1153	1002
535	1154	999
536	1156	996
537	1157	994
538	1159	991
539	1160	988
540	1163	986
541	1164	984
542	1166	981
543	1167	978
544	1169	976
545	1170	973
546	1172	970
547	1173	967
548	1175	965
549	1176	962
550	1179	961
551	1180	958
552	1182	955
553	1183	953
554	1185	950
555	1187	948
556	1188	945
557	1190	942
558	1193	941
559	1195	939
560	1197	936
561	1198	934
562	1200	931
563	1202	929
564	1205	928
565	1208	926
566	1210	924
567	1211	921
568	1213	919
569	1215	916
570	1216	913
571	1218	911
572	1220	909
573	1222	906
574	1225	905
575	1227	903
576	1228	900
577	1229	897
578	1231	895
579	1233	892
580	1234	890
581	1236	887
582	1237	885
583	1240	883
584	1242	881
585	1243	878
586	1245	876
587	1246	873
588	1248	871
589	1249	868
590	1251	866
591	1253	863
592	1256	862
593	1257	859
594	1259	857
595	1260	854
596	1262	852
597	1263	849
598	1265	847
599	1266	844
600	1268	841
601	1271	840
602	1273	838
603	1274	835
604	1276	833
605	1277	830
606	1279	828
607	1280	825
608	1281	823
609	1283	820
610	1286	819
611	1288	817
612	1290	814
613	1291	812
614	1293	809
615	1294	807
616	1296	804
617	1297	802
618	1299	799
619	1301	797
620	1303	795
621	1305	793
